id;data;data_content_type;album_id
1;../fake-data/blob/poster.jpg;image/jpg;1
2;../fake-data/blob/picture1.jpg;image/jpg;1
3;../fake-data/blob/picture2.jpg;image/jpg;1
4;../fake-data/blob/picture3.jpg;image/jpg;1
5;../fake-data/blob/picture4.jpg;image/jpg;2
6;../fake-data/blob/picture5.jpg;image/jpg;2
7;../fake-data/blob/picture6.jpg;image/jpg;2
8;../fake-data/blob/picture6.jpg;image/jpg;2
9;../fake-data/blob/picture6.jpg;image/jpg;2
10;../fake-data/blob/picture1.jpg;image/jpg;3
11;../fake-data/blob/picture2.jpg;image/jpg;3
12;../fake-data/blob/picture3.jpg;image/jpg;3
13;../fake-data/blob/picture4.jpg;image/jpg;3
14;../fake-data/blob/picture5.jpg;image/jpg;3
15;../fake-data/blob/picture6.jpg;image/jpg;3
16;../fake-data/blob/picture7.jpg;image/jpg;3
17;../fake-data/blob/picture8.jpg;image/jpg;3
18;../fake-data/blob/picture8.jpg;image/jpg;3
